pravokotnik [sirina = 2, visina = 1] | p = 2 | o = 6
pravokotnik [sirina = 19, visina = 16] | p = 304 | o = 70
pravokotnik [sirina = 16, visina = 20] | p = 320 | o = 72
pravokotnik [sirina = 19, visina = 17] | p = 323 | o = 72
pravokotnik [sirina = 16, visina = 20] | p = 320 | o = 72
pravokotnik [sirina = 18, visina = 19] | p = 342 | o = 74
pravokotnik [sirina = 19, visina = 19] | p = 361 | o = 76
pravokotnik [sirina = 19, visina = 19] | p = 361 | o = 76
pravokotnik [sirina = 20, visina = 19] | p = 380 | o = 78
pravokotnik [sirina = 20, visina = 19] | p = 380 | o = 78
kvadrat [stranica = 1] | p = 1 | o = 4
kvadrat [stranica = 1] | p = 1 | o = 4
kvadrat [stranica = 1] | p = 1 | o = 4
kvadrat [stranica = 1] | p = 1 | o = 4
kvadrat [stranica = 1] | p = 1 | o = 4
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 2] | p = 4 | o = 8
kvadrat [stranica = 3] | p = 9 | o = 12
kvadrat [stranica = 3] | p = 9 | o = 12
kvadrat [stranica = 3] | p = 9 | o = 12
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 4] | p = 16 | o = 16
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 5] | p = 25 | o = 20
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 6] | p = 36 | o = 24
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 7] | p = 49 | o = 28
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 8] | p = 64 | o = 32
kvadrat [stranica = 9] | p = 81 | o = 36
kvadrat [stranica = 9] | p = 81 | o = 36
kvadrat [stranica = 9] | p = 81 | o = 36
kvadrat [stranica = 9] | p = 81 | o = 36
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 10] | p = 100 | o = 40
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 11] | p = 121 | o = 44
kvadrat [stranica = 12] | p = 144 | o = 48
kvadrat [stranica = 12] | p = 144 | o = 48
kvadrat [stranica = 12] | p = 144 | o = 48
kvadrat [stranica = 12] | p = 144 | o = 48
kvadrat [stranica = 12] | p = 144 | o = 48
kvadrat [stranica = 12] | p = 144 | o = 48
kvadrat [stranica = 13] | p = 169 | o = 52
kvadrat [stranica = 13] | p = 169 | o = 52
kvadrat [stranica = 13] | p = 169 | o = 52
kvadrat [stranica = 13] | p = 169 | o = 52
kvadrat [stranica = 13] | p = 169 | o = 52
kvadrat [stranica = 13] | p = 169 | o = 52
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 14] | p = 196 | o = 56
kvadrat [stranica = 15] | p = 225 | o = 60
kvadrat [stranica = 15] | p = 225 | o = 60
kvadrat [stranica = 15] | p = 225 | o = 60
kvadrat [stranica = 15] | p = 225 | o = 60
kvadrat [stranica = 15] | p = 225 | o = 60
kvadrat [stranica = 15] | p = 225 | o = 60
kvadrat [stranica = 16] | p = 256 | o = 64
kvadrat [stranica = 16] | p = 256 | o = 64
kvadrat [stranica = 16] | p = 256 | o = 64
kvadrat [stranica = 16] | p = 256 | o = 64
kvadrat [stranica = 16] | p = 256 | o = 64
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 17] | p = 289 | o = 68
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 18] | p = 324 | o = 72
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 19] | p = 361 | o = 76
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
kvadrat [stranica = 20] | p = 400 | o = 80
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 1] | p = 3 | o = 6
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 2] | p = 13 | o = 13
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 3] | p = 28 | o = 19
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 4] | p = 50 | o = 25
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 5] | p = 79 | o = 31
krog [polmer = 6] | p = 113 | o = 38
krog [polmer = 6] | p = 113 | o = 38
krog [polmer = 6] | p = 113 | o = 38
krog [polmer = 6] | p = 113 | o = 38
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 7] | p = 154 | o = 44
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 8] | p = 201 | o = 50
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 9] | p = 254 | o = 57
krog [polmer = 10] | p = 314 | o = 63
krog [polmer = 10] | p = 314 | o = 63
krog [polmer = 10] | p = 314 | o = 63
krog [polmer = 10] | p = 314 | o = 63
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 11] | p = 380 | o = 69
krog [polmer = 12] | p = 452 | o = 75
krog [polmer = 12] | p = 452 | o = 75
krog [polmer = 12] | p = 452 | o = 75
krog [polmer = 12] | p = 452 | o = 75
krog [polmer = 12] | p = 452 | o = 75
krog [polmer = 12] | p = 452 | o = 75
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 13] | p = 531 | o = 82
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 14] | p = 616 | o = 88
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 15] | p = 707 | o = 94
krog [polmer = 16] | p = 804 | o = 101
krog [polmer = 16] | p = 804 | o = 101
krog [polmer = 16] | p = 804 | o = 101
krog [polmer = 16] | p = 804 | o = 101
krog [polmer = 16] | p = 804 | o = 101
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 17] | p = 908 | o = 107
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 18] | p = 1018 | o = 113
krog [polmer = 19] | p = 1134 | o = 119
krog [polmer = 19] | p = 1134 | o = 119
krog [polmer = 19] | p = 1134 | o = 119
krog [polmer = 19] | p = 1134 | o = 119
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
krog [polmer = 20] | p = 1257 | o = 126
